Instancia	Vo	%dHeurPlano	%dHeur	tHeur(seg)
P01   	3   	0.000   	100.000   	0.002
P02   	66   	0.000   	87.879   	0.005
P03   	56   	0.000   	46.429   	0.003
P04   	45   	0.000   	55.556   	0.005
P05   	35   	0.000   	80.000   	0.006
P06   	60   	0.000   	43.333   	0.007
P07   	89   	0.000   	41.573   	0.006
P08   	90   	0.000   	15.556   	0.005
P09   	46   	2.174   	78.261   	0.004
P10   	41   	0.000   	4.878   	0.008
P11   	9   	0.000   	0.000   	0.004
P12   	10   	0.000   	50.000   	0.004
P13   	5   	0.000   	0.000   	0.003
P14   	128   	0.000   	48.438   	0.005
P15   	43   	9.302   	53.488   	0.005
P16   	113   	6.195   	62.832   	0.006
P17   	42   	7.143   	78.571   	0.003
P18   	21   	19.048   	85.714   	0.006
P19   	90   	0.000   	45.556   	0.004
P20   	246   	0.000   	36.992   	0.009
P21   	258   	2.326   	64.341   	0.006
P22   	474   	0.000   	65.823   	0.007
P23   	360   	0.000   	69.167   	0.007
P24   	237   	2.954   	68.354   	0.006
