Instancia	Vo	%dHeurPlano	%dHeur	tHeur(seg)
D0   	109   	0.000   	46.789   	0.002
D1   	115   	0.000   	31.304   	0.005
D2   	274   	0.000   	95.620   	0.006
D3   	172   	0.000   	37.209   	0.005
D4   	210   	0.000   	51.905   	0.005
D5   	313   	0.000   	8.626   	0.005
D6   	166   	0.000   	63.253   	0.004
D7   	260   	0.000   	94.231   	0.003
D8   	457   	0.000   	14.442   	0.003
D9   	160   	0.000   	47.500   	0.004
D10   	0   	0.000   	0.000   	0.006
D11   	398   	0.000   	35.427   	0.006
D12   	280   	0.000   	57.500   	0.006
D13   	717   	7.671   	25.802   	0.005
D14   	810   	0.000   	65.062   	0.005
D15   	702   	0.000   	42.877   	0.004
D16   	980   	1.531   	15.714   	0.007
D17   	1115   	4.036   	48.251   	0.007
D18   	515   	0.000   	49.903   	0.008
D19   	509   	0.000   	36.935   	0.005
D20   	457   	0.000   	57.987   	0.005
D21   	1000   	2.400   	35.000   	0.007
D22   	989   	0.000   	41.052   	0.007
D23   	968   	0.000   	46.281   	0.008
D24   	1463   	0.000   	48.735   	0.010
D25   	1317   	0.000   	41.534   	0.013
D26   	1625   	0.923   	39.015   	0.014
D27   	549   	8.743   	58.652   	0.017
D28   	814   	3.440   	55.037   	0.015
D29   	555   	6.847   	42.523   	0.008
D30   	1378   	0.000   	62.772   	0.017
D31   	1503   	0.000   	42.515   	0.017
D32   	1066   	3.565   	59.568   	0.009
D33   	2074   	0.000   	57.040   	0.022
D34   	1806   	0.000   	50.997   	0.012
D35   	1901   	90.426   	56.602   	0.018
