Instancia	Vo	%dHeurPlano	%dHeur	tHeur(seg)
G0   	0   	0.000   	0.000   	0.002
G1   	0   	0.000   	0.000   	0.005
G2   	0   	0.000   	0.000   	0.005
G3   	2   	0.000   	0.000   	0.005
G4   	0   	0.000   	0.000   	0.004
G5   	4   	0.000   	0.000   	0.005
G6   	9   	0.000   	44.444   	0.005
G7   	1   	0.000   	100.000   	0.004
G8   	4   	0.000   	0.000   	0.005
G9   	2   	0.000   	100.000   	0.004
G10   	0   	0.000   	0.000   	0.005
G11   	4   	0.000   	100.000   	0.005
G12   	15   	0.000   	40.000   	0.005
G13   	11   	0.000   	54.545   	0.008
G14   	14   	0.000   	21.429   	0.007
G15   	26   	0.000   	38.462   	0.007
G16   	20   	0.000   	40.000   	0.006
G17   	24   	0.000   	37.500   	0.004
G18   	8   	0.000   	50.000   	0.005
G19   	6   	0.000   	83.333   	0.005
G20   	9   	0.000   	100.000   	0.012
G21   	32   	0.000   	40.625   	0.011
G22   	32   	3.125   	31.250   	0.014
G23   	33   	0.000   	39.394   	0.005
G24   	57   	0.000   	29.825   	0.006
G25   	46   	0.000   	41.304   	0.006
G26   	57   	0.000   	42.105   	0.009
G27   	14   	0.000   	100.000   	0.011
G28   	23   	4.348   	82.609   	0.011
G29   	14   	7.143   	64.286   	0.019
G30   	50   	0.000   	46.000   	0.013
G31   	54   	0.000   	57.407   	0.018
G32   	57   	3.509   	33.333   	0.010
G33   	92   	0.000   	42.391   	0.017
G34   	86   	0.000   	37.209   	0.015
G35   	88   	1.136   	55.682   	0.018
