Instancia	Vo	%dHeurPlano	%dHeur	tHeur(seg)
R0   	1742   	0.000   	100.000   	0.002
R1   	4253   	9.405   	100.000   	0.005
R2   	5638   	0.000   	87.088   	0.005
R3   	18453   	0.000   	78.264   	0.003
R4   	17316   	0.000   	27.275   	0.005
R5   	298   	0.000   	100.000   	0.003
R6   	12478   	0.000   	92.571   	0.004
R7   	9405   	0.000   	76.140   	0.004
R8   	14847   	0.000   	72.244   	0.007
R9   	17523   	0.000   	65.097   	0.009
R10   	17405   	0.000   	100.000   	0.007
R11   	7125   	0.000   	63.411   	0.005
R12   	1493   	0.000   	100.000   	0.003
R13   	32453   	6.129   	33.858   	0.006
R14   	30732   	0.000   	53.182   	0.008
R15   	27791   	0.000   	100.000   	0.006
R16   	10533   	0.000   	100.000   	0.006
R17   	4276   	6.431   	65.084   	0.008
R18   	28462   	0.000   	67.978   	0.007
R19   	26873   	0.000   	48.982   	0.005
